current_well,depth_from_m,depth_to_m,flag_type,severity,current_well_character,offset_analog_character,recommendation,analysis_summary
15_9-F-1C,3200.0,3200.0,ANOMALY,CRITICAL,"GR 107.7 API, RHOB 2.421, RT 66 ohm.m — shale with anomalous RT","Offset GR avg 44.7 API, RT avg 3.6 ohm.m — no HC signature",Exclude as reservoir; investigate RT anomaly for structural cause,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,3350.0,3350.0,HC_POTENTIAL,CRITICAL,"RT 1809.8 ohm.m, GR 43.7 API — strong HC signal in tight rock",Offset RT avg 3.2 ohm.m — no HC expected; offsets show shale here,High-priority anomaly; tight matrix limits flow but verify with MDT,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,4000.0,4050.0,ANOMALY,CRITICAL,"GR 74.6-109.9 API, RHOB 2.43-2.51 — shale where offsets show HC sand","Offset RT avg 2508-16203 ohm.m, GR 27-42 API — prime HC reservoir",Major facies change or fault offset; do not perforate; review structure,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,3800.0,3850.0,RESERVOIR_QUALITY,CRITICAL,"RHOB 2.31-2.32, RT 911-3322 ohm.m — strong HC, lower density than offsets","Offset RHOB avg 2.55-2.64 — F-1C significantly lighter, better porosity",Best confirmed HC reservoir interval; prioritise for completion,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,3700.0,3700.0,HC_POTENTIAL,CRITICAL,"RT 3989 ohm.m, GR 14.3 API — very clean, very high resistivity",Offset RT avg 39.2 ohm.m — F-1C RT is 100x higher than offset analog,Exceptional HC signal; NPHI 0.15 low but GR/RT compelling; test interval,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,3900.0,3900.0,HC_POTENTIAL,MODERATE,"RT 4665 ohm.m, GR 23.3 API, RHOB 2.32 — clean HC-bearing sand","Offset RT avg 3589 ohm.m, GR 28.7 — strong analog match confirmed",High-confidence HC interval; best offset analog correlation in well,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,3600.0,3600.0,HC_POTENTIAL,MODERATE,"RT 300.9 ohm.m, RHOB 2.248, GR 25.9 — good reservoir with HC signal",Offset RT avg 3273 ohm.m — F-1C RT significantly lower than F-11B analog,Moderate HC; lower RT may indicate transition zone or partial saturation,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,3500.0,3550.0,RESERVOIR_QUALITY,MODERATE,"GR 32-40 API, RHOB 2.31-2.35 — cleaner and lighter than offsets",Offset GR avg 76 API — F-1C is dramatically cleaner; RT low at 8-9 ohm.m,Good rock quality but marginal HC; consider water contact proximity,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,3400.0,3400.0,RESERVOIR_QUALITY,MODERATE,"RHOB 2.345, GR 46.7, NPHI 0.228 — best porosity in shallow section",Offset RHOB avg 2.502 — F-1C is 0.157 g/cc lighter; water-bearing likely,Good reservoir quality confirmed but RT 1.32 ohm.m indicates brine,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,3300.0,3300.0,ANOMALY,MODERATE,GR 59.9 API exceeds clean sand cutoff; RT 316 ohm.m anomalously high,Offset RT avg 4.7 ohm.m — RT in F-1C is 67x higher; likely tight HC,Shaly/cemented; high RT may reflect tight HC or capillary-bound fluid,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,3750.0,3750.0,HC_POTENTIAL,MODERATE,"RT 53 ohm.m, GR 25.9, RHOB 2.257 — moderate HC signal",Offset RT avg 81 ohm.m — broadly consistent; RHOB slightly higher in F-1C,Moderate HC potential; consistent with offset trend; include in test plan,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,3100.0,3150.0,RESERVOIR_QUALITY,MODERATE,"RHOB 2.55-2.56, NPHI 0.159-0.164 — dense, tight, near-zero effective porosity",Offset RHOB avg 2.56 — tight in both; field-wide cemented barrier confirmed,Regional tight zone; likely seal/barrier; not a drilling target,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,3450.0,3450.0,HC_POTENTIAL,MODERATE,RT 4.5 ohm.m below HC cutoff; RHOB 2.39 marginal; GR 41.8 clean,Offset RT avg 59.5 ohm.m — F-1C dramatically lower; possible water leg,Likely water-bearing at this depth; marks potential HC-water contact,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,3250.0,3250.0,RESERVOIR_QUALITY,MINOR,"RHOB 2.361, GR 38.8, NPHI 0.208 — borderline quality; PEF limestone",Offset RHOB avg 2.517 — F-1C lighter by 0.156; marginal improvement,Monitor; slightly better than offsets but insufficient for standalone target,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,3650.0,3650.0,HC_POTENTIAL,MINOR,"GR 45.6 API, RHOB 2.286, RT 4.4 ohm.m — just below HC threshold",Offset RT avg 2278 ohm.m — F-1C RT 500x lower; major saturation difference,RT deviation from offsets is extreme; possible fault/seal compartmentalisation,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
15_9-F-1C,3950.0,3950.0,RESERVOIR_QUALITY,MINOR,"GR 20.3, RHOB 2.349 — clean but NPHI 0.159 low; RT 17.2 moderate",Offset RT avg 311 ohm.m — F-1C significantly lower RT; reduced HC sat,Marginal; may represent HC-water transition; low priority vs 3800-3900m,F-1C intersects a carbonate-dominated section with pervasive limestone PEF signature unlike offset sandstone Hugin reservoirs. HC potential is confirmed at multiple deep intervals but reservoir quality is heterogeneous and consistently tighter than offset analogs.
